Date,Price,Open,High,Low,Volum,Change %
12/30/2025,63.1,64,64.6,62.9,62.9,-1.10%
12/29/2025,63.8,65.5,65.5,63.2,63.2,-0.93%
12/28/2025,64.4,64.7,65.7,64.1,64.1,-0.46%
12/24/2025,64.7,64.9,64.9,64,64,0.78%
12/23/2025,64.2,64.4,65.6,64,64,-0.31%
12/22/2025,64.4,63.8,64.8,63.7,63.7,0.94%
12/21/2025,63.8,63.9,64.8,63.3,63.3,-0.16%
12/18/2025,63.9,64.4,64.9,63.7,63.7,-0.47%
12/17/2025,64.2,64.8,65.3,64,64,-0.77%
12/15/2025,64.7,66.4,66.4,64.4,64.4,-1.52%
12/14/2025,65.7,66.3,66.7,65.4,65.4,-1.20%
12/11/2025,66.5,67.4,70,66,66,0.15%
12/10/2025,66.4,66.5,67,66.3,66.3,0.15%
12/09/2025,66.3,66,67,65.8,65.8,0.61%
12/08/2025,65.9,65.4,66,65.3,65.3,0.46%
12/07/2025,65.6,66.3,66.3,65.5,65.5,-0.15%
12/04/2025,65.7,65.4,65.9,65.1,65.1,0.61%
12/03/2025,65.3,66.3,66.3,65.2,65.2,-1.06%
12/02/2025,66,66,66.1,65.7,65.7,0.00%
12/01/2025,66,65.7,66.1,65.2,65.2,0.30%
11/30/2025,65.8,66,66,65.6,65.6,0.00%
11/27/2025,65.8,66,66,65.5,65.5,0.46%
11/26/2025,65.5,66.4,66.5,65.2,65.2,-0.61%
11/25/2025,65.9,66.9,68,65.4,65.4,-0.15%
11/24/2025,66,65,66,64.9,64.9,1.54%
11/23/2025,65,65.4,65.4,64.6,64.6,-0.61%
11/20/2025,65.4,65.6,66.3,65.1,65.1,-0.30%
11/19/2025,65.6,66.5,67.1,65.4,65.4,-0.30%
11/18/2025,65.8,67.8,67.8,65.6,65.6,0.61%
11/17/2025,65.4,66,66.5,65,65,-0.15%
11/16/2025,65.5,66.8,66.8,60,60,-1.06%
11/13/2025,66.2,67.2,67.8,66,66,-2.79%
11/12/2025,68.1,67.8,68.2,67.4,67.4,0.74%
11/11/2025,67.6,66.7,68,66.7,66.7,1.35%
11/10/2025,66.7,68,68,66.3,66.3,0.00%
11/09/2025,66.7,68.8,69.9,66.3,66.3,-1.77%
11/06/2025,67.9,68.8,68.8,67.4,67.4,0.00%
11/05/2025,67.9,68.9,68.9,67.8,67.8,-0.44%
11/04/2025,68.2,69,69,68,68,-0.29%
11/03/2025,68.4,69,69.6,68.3,68.3,-1.87%
11/02/2025,69.7,68.4,69.9,68.2,68.2,2.35%
10/30/2025,68.1,69.7,69.7,68,68,-0.73%
10/29/2025,68.6,69.7,70,68.4,68.4,-0.58%
10/28/2025,69,70.5,70.5,68.2,68.2,0.88%
10/27/2025,68.4,70.9,70.9,68.1,68.1,-2.15%
10/26/2025,69.9,71.4,72.8,69.5,69.5,-1.69%
10/23/2025,71.1,70,71.4,69.5,69.5,1.72%
10/22/2025,69.9,68.5,70,68.5,68.5,1.90%
10/21/2025,68.6,67.6,70,67.3,67.3,1.78%
10/20/2025,67.4,67.9,67.9,65.7,65.7,1.51%
10/19/2025,66.4,69,69,61.8,61.8,-3.21%
10/16/2025,68.6,68.5,68.7,68.1,68.1,0.44%
10/15/2025,68.3,68.4,68.7,68.3,68.3,-0.15%
10/14/2025,68.4,69.3,69.3,68.3,68.3,-0.87%
10/13/2025,69,68.5,69.2,68.3,68.3,1.17%
10/12/2025,68.2,69.7,69.8,67.8,67.8,-2.15%
10/09/2025,69.7,69.5,70,69.3,69.3,0.14%
10/08/2025,69.6,69.7,70.1,69.4,69.4,-0.14%
10/07/2025,69.7,70.9,70.9,69.4,69.4,-1.69%
