Date,Price,Open,High,Low,Volum,Change %,RSI14
2015-01-01,17.68,17.72,17.82,17.58,17.58,-0.51%,
2015-01-05,17.82,17.77,17.92,17.63,17.63,0.79%,
2015-01-06,17.87,17.77,17.92,17.77,17.77,0.28%,
2015-01-07,17.92,18.15,18.15,17.87,17.87,0.28%,
2015-01-08,17.96,17.77,18.06,17.77,17.77,0.22%,
2015-01-11,17.82,17.25,17.92,17.25,17.25,-0.78%,
2015-01-12,17.77,17.82,17.96,17.63,17.63,-0.28%,
2015-01-13,17.77,17.72,17.92,17.72,17.72,0.00%,
2015-01-14,17.92,17.87,17.96,17.77,17.77,0.84%,
2015-01-15,17.96,17.96,18.06,17.82,17.82,0.22%,
2015-01-18,18.15,17.92,18.15,17.87,17.87,1.06%,
2015-01-19,18.39,18.06,18.44,18.06,18.06,1.32%,
2015-01-20,18.78,18.3,18.97,18.3,18.3,2.12%,
2015-01-21,18.63,19.01,19.01,18.49,18.49,-0.80%,79.1411042944784
2015-01-22,18.87,18.68,18.92,18.58,18.58,1.29%,81.81818181818171
2015-01-25,18.78,18.87,18.87,18.58,18.58,-0.48%,76.37362637362628
2015-01-26,19.16,19.01,19.35,18.68,18.68,2.02%,79.9999999999999
2015-01-27,19.11,19.11,19.35,18.78,18.78,-0.26%,77.67441860465104
2015-01-28,19.01,18.82,19.21,18.82,18.82,-0.52%,73.75565610859726
2015-01-29,18.87,19.16,19.16,18.68,18.68,-0.74%,73.75565610859726
2015-02-01,18.58,18.97,18.97,18.44,18.44,-1.54%,66.5306122448979
2015-02-02,18.49,18.54,18.54,18.2,18.2,-0.48%,64.17322834645663
2015-02-03,18.35,18.11,18.44,18.11,18.11,-0.76%,58.49802371541501
2015-02-04,18.49,18.39,18.54,18.35,18.35,0.76%,60.07604562737638
2015-02-05,18.44,18.44,18.54,18.15,18.15,-0.27%,55.82329317269082
2015-02-08,18.35,18.49,18.49,18.3,18.3,-0.49%,49.14529914529916
2015-02-09,18.3,18.39,18.39,18.2,18.2,-0.27%,37.99999999999997
